albumRef, Track num, track title, length
12, 2, On the Run, 3:35
12, 3, Time, 7:05
12, 4, The Great Gig in the Sky, 4:44
12, 5, Money, 6:23
12, 6, Us and Them, 7:50
12, 7, Any Colour You Like, 3:26
12, 8, Brain Damage, 3:46
12, 9, Eclipse, 2:01
13, 1, Court and Spark, 2:46
13, 2, Help Me, 3:22
13, 3, Free Man in Paris, 3:03
13, 4, "People’s Parties", 2:15
13, 5, Same Situation, 2:57
13, 6, Car on a Hill, 3:02
13, 7, Down to You, 5:39
13, 8, Just Like This Train, 4:24
13, 9, Raised on Robbery, 3:07
13, 10, Trouble Child, 4:00
13, 11, Twisted, 2:21
14, 1, Rednecks, 3:10
14, 2, Birmingham, 2:47
14, 3, Marie, 3:10
14, 4, Mr. President (Have Pity on the Working Man), 2:47
14, 5, Guilty, 3:10
14, 6, Louisiana 1927, 2:58
14, 7, Every Man a King, 1:02
14, 8, Kingfish, 2:46
14, 9, Naked Man, 3:12
14, 10, A Wedding in Cherokee County, 3:10
14, 11, Back on My Feet Again, 3:23
14, 12, "Rollin’", 2:53
15, 1, Monday Morning, 2:48
15, 2, Warm Ways, 3:54
15, 3, Blue Letter, 2:41
15, 4, Rhiannon, 4:11
15, 5, Over My Head, 3:36
15, 6, Crystal, 5:13
15, 7, Say You Love Me, 4:10
15, 8, Landslide, 3:19
15, 9, World Turning, 4:25
15, 10, Sugar Daddy, 4:10
15, 11, "I’m So Afraid", 4:23
16, 1, Night, 3:00
16, 2, Meeting Across the River, 3:16
16, 3, "She’s the One", 4:30 
16, 4, Thunder Road, 4:49
16, 5, Born to Run, 4:30
16, 6, Tenth Avenue Freeze-Out, 3:11
16, 7, Backstreets, 6:31
16, 8, Jungleland, 9:34
17, 1, Wheels of Fortune, 4:57
17, 2, "Takin’ It to the Streets", 3:56
17, 3, 8th Avenue Shuffle, 4:44
17, 4, "Losin’ End", 3:49
17, 5, Rio, 3:52
17, 6, For Someone Special, 5:05
17, 7, "It Keeps You Runnin’", 4:22
17, 8, Turn It Loose, 3:57
17, 9, Carry Me Away, 4:07
18, 1, Beau Soir, 2:42
18, 2, Brezairola, 3:47
18, 3, Verschwiegene Liebe, 2:57
18, 4, Pavane, 5:29
18, 5, Apres un reve, 3:24
18, 6, In trutina, 2:11
18, 7, "Lascia ch’io pianga", 3:37
18, 8, Mondnacht, 3:56
18, 9, Dank se Dir, Herr, 3:42
18, 10, I loved You, 2:18
19, 1, Hooked on You, 2:21
19, 2, "She’s the Only One", 3:00
19, 3, Lost Without Your Love, 2:56
19, 4, Change of Heart, 3:18
19, 5, Belonging, 3:19
19, 6, Fly Away, 3:07
19, 7, Lay Your Money Down, 2:42
19, 8, The Chosen One, 4:26
19, 9, "Today’s the First Day", 3:25
19, 10, Hold Tight, 3:07
19, 11, Our Lady of Sorrow, 4:16
20, 1, Piano Concerto No. 1, 18:18
20, 2, Lend Your Love to Me Tonight, 4:01
20, 3, "C’est La Vie", 4:19
20, 4, Hallowed be Thy Name, 4:37
20, 5, Nobody Loves You Like I Do, 3:56
20, 6, Closer to Believing, 5:34
20, 7, The Enemy God Dances with the Black Spirits, 3:20
20, 8, L.A. Nights, 5:42
20, 9, New Orleans, 2:45
20, 10, Two Part Invention in D Minor, 1:54
20, 11, Food for Your Soul, 3:58
20, 12, Tank, 5:08
20, 13, Fanfare for the Common Man, 9:43
20, 14, Pirates, 13:17
21, 1, Introduction, 1:12
21, 2, Theme and Variations 1-4, 3:05
21, 3, Variations 5 and 6, 3:14
21, 4, Variation 7, 1:51
21, 5, Variation 8, 1:08
21, 6, Variation 9, 1:43
21, 7, Variation 10, 2:21
21, 8, Variations 11-15, 3:52
21, 9, Variation 16, 2:29
21, 10, Variations 13-14 Varied, 1:54
21, 11, Variation 17, 1:10
21, 12, Variation 18, 2:58
21, 13, "Variations 19, 20 and 5 Varied", 3:04
21, 14, Variations 21 and 22, 1:59
21, 15, Variation 23, 2:40
22, 1, Gone Hollywood, 5:20
22, 2, The Logical Song, 4:05
22, 3, Goodbye Stranger, 5:50
22, 4, Breakfast in America, 2:39
22, 5, Oh Darling, 3:49
22, 6, Take the Long Way Home, 4:57
22, 7, Lord is It Mine, 4:10
22, 8, Just another Nervous Wreck, 4:22
22, 9, Casual Conversations, 2:59
22, 10, Child of Vision, 7:26
23, 1, The Wanderer, 3:47
23, 2, Looking Up, 3:57
23, 3, Breakdown, 4:08
23, 4, Grand Illusion, 3:54
23, 5, Running for Cover, 4:01
23, 6, Cold Love, 3:38
23, 7, "Who Do You Think You’re Foolin’", 4:18
23, 8, Nightlife, 4:00
23, 9, Stop Me, 3:44
23, 10, I Believe in Jesus, 3:37
24, 1, Clubland, 3:43
24, 2, Lovers Walk, 2:19
24, 3, "You’ll Never Be a Man", 2:59
24, 4, Pretty Words, 3:13
24, 5, Strict Time, 2:41
24, 6, Luxembourg, 2:29
24, 7, Watch Your Step, 3:00
24, 8, New Lace Sleeves, 3:48
24, 9, From a Whisper to a Scream, 2:57
24, 10, Different Finger, 1:59
24, 11, White Knuckles, 3:50
24, 12, Shot With His Own Gun, 3:35
24, 13, "Fish ‘N’ Chip Paper", 2:59
24, 14, "Big Sister’s Clothes", 2:13
25, 1, Get Closer, 2:31
25, 2, The Moon Is a Harsh Mistress, 3:03
25, 3, I knew You When, 2:55
25, 4, Easy for You to Say, 3:58
25, 5, People Gonna Talk, 2:39
25, 6, Talk to Me of Mendocino, 3:01
25, 7, "I Think It’s Gonna Work Out Fine", 4:00
25, 8, Mr. Radio, 4:08
25, 9, Lies, 2:35
25, 10, Tell Him, 2:42
25, 11, "Sometimes You Just Can’t Win", 2:33
25, 12, My Blue Tears, 2:40
26, 1, Separate Ways (Worlds Apart), 5:23
26, 2, Send Her My Love, 3:55
26, 3, Chain Reaction, 4:21
26, 4, After the Fall, 5:01
26, 5, Faithfully, 4:27
26, 6, Edge of the Blade, 4:31
26, 7, Troubled Child, 4:29
26, 8, Back Talk, 3:17
26, 9, Frontiers, 4:10
26, 10, Rubicon, 4:19
27, 1, Dr. Heckyll & Mr. Jive, 4:38
27, 2, Overkill, 3:46
27, 3, Settle Down My Boy, 3:30
27, 4, Upstairs in My House, 4:02
27, 5, No Sign of Yesterday, 6:15
27, 6, "It’s a Mistake", 4:34
27, 7, High Wire, 3:02
27, 8, Blue for You, 3:55
27, 9, I Like To, 4:03
27, 10, No Restrictions, 4:31
28, 1, Dum Dum Girl, 3:50
28, 2, Such a Shame, 5:43
28, 3, Renee, 6:22
28, 4, "It’s My Life", 3:53
28, 5, Tomorrow Started, 6:00
28, 6, The Last Time, 4:23
28, 7, Call in the Night Boy, 3:48
28, 8, Does Caroline Know, 4:30
28, 9, "It’s You", 4:42
29, 1, Decoy, 8:36
29, 2, Robot 415, 1:12
29, 3, Code M.D., 6:01
29, 4, Freaky Deaky, 4:38
29, 5, What It Is, 4:34
29, 6, "That’s Right", 11:16
29, 7, "That’s What Happened", 3:33
30, 1, Shout, 6:33
30, 2, The Working Hour, 6:32
30, 3, Everybody Wants to Rule the World, 4:11
30, 4, "Mother’s Talk", 5:10
30, 5, I Believe, 4:55
30, 6, Broken, 2:39
30, 7, Head Over Heals/Broken, 5:02
30, 8, Listen, 6:50
31, 1, Once Upon a Time, 5:46
31, 2, All the Things She Said, 4:16 
31, 3, Ghost Dancing, 4:45
31, 4, Alive and Kicking, 5:26
31, 5, Oh Jungleland, 5:14
31, 6, I Wish You Were Here, 4:43
31, 7, Sanctify Yourself, 4:57
31, 8, Come a Long Way, 5:08
32, 1, If You Love Somebody Set Them Free, 4:16
32, 2, Love is the Seventh Wave, 3:32
32, 3, Russian, 3:57
32, 4, "Children’s Crusade", 5:02
32, 5, Shadows in the Rain, 4:52
32, 6, We Work the Black Seam, 5:43
32, 7, Consider Me Gone, 4:21
32, 8, The Dream of the Blue Turtles, 1:18
32, 9, Moon Over the Bourbon Street, 4:00
32, 10, Fortress Around Your Heart, 4:39
33, 1, Transmutation/Industrial, 6:13
33, 2, Thoughts, 2:51
33, 3, Luz Amor y Vida, 5:09
33, 4, En Aranjuez Con Tu Amor, 6:07
33, 5, Contigo (With You), 4:55
33, 6, Blue Latino, 5:55
33, 7, La Danza, 6:55
33, 8, Brujo, 4:08
33, 9, The Trip, 3:54
33, 10, Reflections, 3:45
33, 11, Morning In Marin, 2:27
